Text name: ddpg_ant_seed3.txt
[520/2000] rSumAvg:[82.096]
[521/2000] rSumAvg:[117.957]
[522/2000] rSumAvg:[85.432]
[523/2000] rSumAvg:[99.285]
[524/2000] rSumAvg:[116.777]
[525/2000] rSumAvg:[116.176]
[526/2000] rSumAvg:[79.227]
[527/2000] rSumAvg:[98.340]
[528/2000] rSumAvg:[112.719]
[529/2000] rSumAvg:[108.460]
[530/2000] rSumAvg:[130.871]
[531/2000] rSumAvg:[97.870]
[532/2000] rSumAvg:[104.730]
[533/2000] rSumAvg:[78.593]
[534/2000] rSumAvg:[88.086]
[535/2000] rSumAvg:[76.686]
[536/2000] rSumAvg:[103.960]
[537/2000] rSumAvg:[124.797]
[538/2000] rSumAvg:[113.010]
[539/2000] rSumAvg:[131.531]
[540/2000] rSumAvg:[113.672]
[541/2000] rSumAvg:[79.749]
[542/2000] rSumAvg:[110.322]
[543/2000] rSumAvg:[90.146]
[544/2000] rSumAvg:[116.163]
[545/2000] rSumAvg:[90.452]
[546/2000] rSumAvg:[85.179]
[547/2000] rSumAvg:[103.421]
[548/2000] rSumAvg:[121.213]
[549/2000] rSumAvg:[110.529]
[550/2000] rSumAvg:[85.337]
[551/2000] rSumAvg:[88.223]
[552/2000] rSumAvg:[129.428]
[553/2000] rSumAvg:[130.901]
[554/2000] rSumAvg:[93.338]
[555/2000] rSumAvg:[-2.669]
[556/2000] rSumAvg:[69.800]
[557/2000] rSumAvg:[95.878]
[558/2000] rSumAvg:[99.416]
[559/2000] rSumAvg:[109.256]
[560/2000] rSumAvg:[52.473]
[561/2000] rSumAvg:[47.684]
[562/2000] rSumAvg:[90.552]
[563/2000] rSumAvg:[50.499]
[564/2000] rSumAvg:[57.034]
[565/2000] rSumAvg:[55.301]
[566/2000] rSumAvg:[76.313]
[567/2000] rSumAvg:[36.892]
[568/2000] rSumAvg:[64.073]
[569/2000] rSumAvg:[55.074]
[570/2000] rSumAvg:[74.773]
[571/2000] rSumAvg:[120.600]
[572/2000] rSumAvg:[70.267]
[573/2000] rSumAvg:[97.339]
[574/2000] rSumAvg:[94.712]
[575/2000] rSumAvg:[72.133]
[576/2000] rSumAvg:[71.741]
[577/2000] rSumAvg:[32.275]
[578/2000] rSumAvg:[76.019]
[579/2000] rSumAvg:[95.404]
[580/2000] rSumAvg:[47.244]
[581/2000] rSumAvg:[-38.942]
[582/2000] rSumAvg:[35.026]
[583/2000] rSumAvg:[109.675]
[584/2000] rSumAvg:[79.959]
[585/2000] rSumAvg:[66.228]
[586/2000] rSumAvg:[84.449]
[587/2000] rSumAvg:[87.760]
[588/2000] rSumAvg:[84.347]
[589/2000] rSumAvg:[-21.235]
[590/2000] rSumAvg:[93.334]
[591/2000] rSumAvg:[114.424]
[592/2000] rSumAvg:[43.791]
[593/2000] rSumAvg:[3.125]
[594/2000] rSumAvg:[106.112]
[595/2000] rSumAvg:[132.242]
[596/2000] rSumAvg:[56.438]
[597/2000] rSumAvg:[18.844]
[598/2000] rSumAvg:[89.905]
[599/2000] rSumAvg:[105.213]
[600/2000] rSumAvg:[108.249]
[601/2000] rSumAvg:[70.565]
[602/2000] rSumAvg:[108.126]
[603/2000] rSumAvg:[106.162]
[604/2000] rSumAvg:[24.010]
[605/2000] rSumAvg:[57.442]
[606/2000] rSumAvg:[81.523]
[607/2000] rSumAvg:[38.880]
[608/2000] rSumAvg:[97.283]
[609/2000] rSumAvg:[91.446]
[610/2000] rSumAvg:[87.306]
[611/2000] rSumAvg:[97.995]
[612/2000] rSumAvg:[57.618]
[613/2000] rSumAvg:[105.421]
[614/2000] rSumAvg:[99.496]
[615/2000] rSumAvg:[81.644]
[616/2000] rSumAvg:[61.019]
[617/2000] rSumAvg:[139.787]
[618/2000] rSumAvg:[138.500]
[619/2000] rSumAvg:[85.047]
[620/2000] rSumAvg:[59.519]
[621/2000] rSumAvg:[80.469]
[622/2000] rSumAvg:[81.017]
[623/2000] rSumAvg:[112.280]
[624/2000] rSumAvg:[113.542]
[625/2000] rSumAvg:[94.938]
[626/2000] rSumAvg:[78.089]
[627/2000] rSumAvg:[99.786]
[628/2000] rSumAvg:[117.825]
[629/2000] rSumAvg:[89.616]
[630/2000] rSumAvg:[121.931]
[631/2000] rSumAvg:[118.505]
[632/2000] rSumAvg:[33.717]
[633/2000] rSumAvg:[64.719]
[634/2000] rSumAvg:[92.261]
[635/2000] rSumAvg:[121.618]
[636/2000] rSumAvg:[95.139]
[637/2000] rSumAvg:[-47.296]
[638/2000] rSumAvg:[-107.303]
[639/2000] rSumAvg:[-87.542]
[640/2000] rSumAvg:[120.282]
[641/2000] rSumAvg:[115.848]
[642/2000] rSumAvg:[115.718]
[643/2000] rSumAvg:[-8.885]
[644/2000] rSumAvg:[123.670]
[645/2000] rSumAvg:[67.350]
[646/2000] rSumAvg:[118.342]
[647/2000] rSumAvg:[106.802]
[648/2000] rSumAvg:[140.086]
[649/2000] rSumAvg:[108.205]
[650/2000] rSumAvg:[117.228]
[651/2000] rSumAvg:[108.988]
[652/2000] rSumAvg:[86.292]
[653/2000] rSumAvg:[65.636]
[654/2000] rSumAvg:[-18.280]
[655/2000] rSumAvg:[74.963]
[656/2000] rSumAvg:[91.204]
[657/2000] rSumAvg:[128.110]
[658/2000] rSumAvg:[88.059]
[659/2000] rSumAvg:[84.509]
[660/2000] rSumAvg:[87.668]
[661/2000] rSumAvg:[50.769]
[662/2000] rSumAvg:[64.425]
[663/2000] rSumAvg:[81.987]
[664/2000] rSumAvg:[73.336]
[665/2000] rSumAvg:[112.970]
[666/2000] rSumAvg:[119.210]
[667/2000] rSumAvg:[26.760]
[668/2000] rSumAvg:[135.353]
[669/2000] rSumAvg:[82.297]
[670/2000] rSumAvg:[126.006]
[671/2000] rSumAvg:[93.993]
[672/2000] rSumAvg:[104.441]
[673/2000] rSumAvg:[125.708]
[674/2000] rSumAvg:[53.912]
[675/2000] rSumAvg:[96.889]
[676/2000] rSumAvg:[62.966]
[677/2000] rSumAvg:[64.973]
[678/2000] rSumAvg:[41.967]
[679/2000] rSumAvg:[99.283]
[680/2000] rSumAvg:[102.059]
[681/2000] rSumAvg:[125.239]
[682/2000] rSumAvg:[123.743]
[683/2000] rSumAvg:[103.620]
[684/2000] rSumAvg:[35.355]
[685/2000] rSumAvg:[115.217]
[686/2000] rSumAvg:[76.583]
[687/2000] rSumAvg:[101.723]
[688/2000] rSumAvg:[55.795]
[689/2000] rSumAvg:[128.453]
[690/2000] rSumAvg:[33.209]
[691/2000] rSumAvg:[88.375]
[692/2000] rSumAvg:[128.045]
[693/2000] rSumAvg:[58.449]
[694/2000] rSumAvg:[91.135]
[695/2000] rSumAvg:[45.543]
[696/2000] rSumAvg:[107.190]
[697/2000] rSumAvg:[96.249]
[698/2000] rSumAvg:[87.673]
[699/2000] rSumAvg:[116.340]
[700/2000] rSumAvg:[116.214]
[701/2000] rSumAvg:[111.496]
[702/2000] rSumAvg:[140.662]
[703/2000] rSumAvg:[65.908]
[704/2000] rSumAvg:[132.303]
[705/2000] rSumAvg:[88.369]
[706/2000] rSumAvg:[87.469]
[707/2000] rSumAvg:[105.909]
[708/2000] rSumAvg:[94.468]
[709/2000] rSumAvg:[104.596]
[710/2000] rSumAvg:[139.389]
[711/2000] rSumAvg:[128.594]
[712/2000] rSumAvg:[125.977]
[713/2000] rSumAvg:[106.172]
[714/2000] rSumAvg:[83.365]
[715/2000] rSumAvg:[129.947]
[716/2000] rSumAvg:[127.478]
[717/2000] rSumAvg:[130.911]
[718/2000] rSumAvg:[111.023]
[719/2000] rSumAvg:[118.150]
[720/2000] rSumAvg:[61.192]
[721/2000] rSumAvg:[109.109]
[722/2000] rSumAvg:[98.040]
[723/2000] rSumAvg:[92.520]
[724/2000] rSumAvg:[125.952]
[725/2000] rSumAvg:[145.499]
[726/2000] rSumAvg:[79.081]
