Text name: ddpg_halfcheetah_seed1.txt
[275/1000] rSumAvg:[-16.842]
[276/1000] rSumAvg:[-18.283]
[277/1000] rSumAvg:[-18.914]
[278/1000] rSumAvg:[-16.874]
[279/1000] rSumAvg:[-16.661]
[280/1000] rSumAvg:[-17.700]
[281/1000] rSumAvg:[-15.275]
[282/1000] rSumAvg:[-12.529]
[283/1000] rSumAvg:[-15.315]
[284/1000] rSumAvg:[-16.101]
[285/1000] rSumAvg:[-17.463]
[286/1000] rSumAvg:[-18.610]
[287/1000] rSumAvg:[-15.502]
[288/1000] rSumAvg:[-15.234]
[289/1000] rSumAvg:[-13.769]
[290/1000] rSumAvg:[-12.069]
[291/1000] rSumAvg:[-14.626]
[292/1000] rSumAvg:[-19.316]
[293/1000] rSumAvg:[-17.018]
[294/1000] rSumAvg:[-19.747]
[295/1000] rSumAvg:[-20.394]
[296/1000] rSumAvg:[-19.688]
[297/1000] rSumAvg:[-16.815]
[298/1000] rSumAvg:[-22.400]
[299/1000] rSumAvg:[-21.347]
[300/1000] rSumAvg:[-22.741]
[301/1000] rSumAvg:[-23.227]
[302/1000] rSumAvg:[-23.131]
[303/1000] rSumAvg:[-23.603]
[304/1000] rSumAvg:[-23.225]
[305/1000] rSumAvg:[-21.031]
[306/1000] rSumAvg:[-28.054]
[307/1000] rSumAvg:[-22.442]
[308/1000] rSumAvg:[-21.180]
[309/1000] rSumAvg:[-16.922]
[310/1000] rSumAvg:[-21.364]
[311/1000] rSumAvg:[-15.028]
[312/1000] rSumAvg:[-20.918]
[313/1000] rSumAvg:[-18.636]
[314/1000] rSumAvg:[-23.389]
[315/1000] rSumAvg:[-22.474]
[316/1000] rSumAvg:[-25.016]
[317/1000] rSumAvg:[-22.496]
[318/1000] rSumAvg:[-23.697]
[319/1000] rSumAvg:[-23.562]
[320/1000] rSumAvg:[-23.664]
[321/1000] rSumAvg:[-24.503]
[322/1000] rSumAvg:[-26.365]
[323/1000] rSumAvg:[-25.694]
[324/1000] rSumAvg:[-24.259]
[325/1000] rSumAvg:[-22.894]
[326/1000] rSumAvg:[-22.142]
[327/1000] rSumAvg:[-20.309]
[328/1000] rSumAvg:[-12.411]
[329/1000] rSumAvg:[-9.883]
[330/1000] rSumAvg:[-8.385]
[331/1000] rSumAvg:[-12.362]
[332/1000] rSumAvg:[-14.368]
[333/1000] rSumAvg:[-13.860]
[334/1000] rSumAvg:[-11.734]
[335/1000] rSumAvg:[-14.148]
[336/1000] rSumAvg:[-17.587]
[337/1000] rSumAvg:[-15.816]
[338/1000] rSumAvg:[-18.825]
[339/1000] rSumAvg:[-21.209]
[340/1000] rSumAvg:[-19.762]
[341/1000] rSumAvg:[-18.571]
[342/1000] rSumAvg:[-20.414]
[343/1000] rSumAvg:[-20.599]
[344/1000] rSumAvg:[-19.712]
[345/1000] rSumAvg:[-18.702]
[346/1000] rSumAvg:[-22.210]
[347/1000] rSumAvg:[-20.229]
[348/1000] rSumAvg:[-19.158]
[349/1000] rSumAvg:[-17.408]
[350/1000] rSumAvg:[-11.870]
[351/1000] rSumAvg:[-13.092]
[352/1000] rSumAvg:[-10.052]
[353/1000] rSumAvg:[-11.539]
[354/1000] rSumAvg:[-14.497]
[355/1000] rSumAvg:[-17.658]
[356/1000] rSumAvg:[-13.006]
[357/1000] rSumAvg:[-8.701]
[358/1000] rSumAvg:[-9.387]
[359/1000] rSumAvg:[-12.915]
[360/1000] rSumAvg:[-9.797]
[361/1000] rSumAvg:[-7.087]
[362/1000] rSumAvg:[-9.285]
[363/1000] rSumAvg:[-7.871]
[364/1000] rSumAvg:[-13.168]
[365/1000] rSumAvg:[-14.316]
[366/1000] rSumAvg:[-17.014]
[367/1000] rSumAvg:[-14.028]
[368/1000] rSumAvg:[-10.769]
[369/1000] rSumAvg:[-9.479]
[370/1000] rSumAvg:[-10.799]
[371/1000] rSumAvg:[-13.446]
[372/1000] rSumAvg:[-15.813]
[373/1000] rSumAvg:[-19.844]
[374/1000] rSumAvg:[-17.017]
[375/1000] rSumAvg:[-19.115]
[376/1000] rSumAvg:[-15.836]
[377/1000] rSumAvg:[-22.530]
[378/1000] rSumAvg:[-14.659]
[379/1000] rSumAvg:[-16.906]
[380/1000] rSumAvg:[-15.322]
[381/1000] rSumAvg:[-18.442]
[382/1000] rSumAvg:[-15.468]
[383/1000] rSumAvg:[-15.754]
[384/1000] rSumAvg:[-14.778]
[385/1000] rSumAvg:[-13.519]
[386/1000] rSumAvg:[-15.848]
[387/1000] rSumAvg:[-16.277]
[388/1000] rSumAvg:[-15.252]
[389/1000] rSumAvg:[-16.225]
[390/1000] rSumAvg:[-18.667]
[391/1000] rSumAvg:[-18.864]
[392/1000] rSumAvg:[-14.118]
[393/1000] rSumAvg:[-14.375]
[394/1000] rSumAvg:[-6.464]
[395/1000] rSumAvg:[-10.265]
[396/1000] rSumAvg:[-11.699]
[397/1000] rSumAvg:[-8.977]
[398/1000] rSumAvg:[-6.289]
[399/1000] rSumAvg:[-8.596]
[400/1000] rSumAvg:[-15.255]
[401/1000] rSumAvg:[-11.938]
[402/1000] rSumAvg:[-8.785]
[403/1000] rSumAvg:[-9.446]
[404/1000] rSumAvg:[-10.337]
[405/1000] rSumAvg:[-16.693]
[406/1000] rSumAvg:[-20.067]
[407/1000] rSumAvg:[-19.673]
[408/1000] rSumAvg:[-19.967]
[409/1000] rSumAvg:[-21.179]
[410/1000] rSumAvg:[-17.179]
[411/1000] rSumAvg:[-11.926]
[412/1000] rSumAvg:[-12.397]
[413/1000] rSumAvg:[-13.698]
[414/1000] rSumAvg:[-15.867]
[415/1000] rSumAvg:[-11.317]
[416/1000] rSumAvg:[-8.803]
[417/1000] rSumAvg:[-12.080]
[418/1000] rSumAvg:[-14.826]
[419/1000] rSumAvg:[-17.475]
[420/1000] rSumAvg:[-17.841]
[421/1000] rSumAvg:[-8.322]
[422/1000] rSumAvg:[-13.060]
[423/1000] rSumAvg:[-12.998]
[424/1000] rSumAvg:[-14.177]
[425/1000] rSumAvg:[-11.073]
[426/1000] rSumAvg:[-11.581]
[427/1000] rSumAvg:[-10.569]
[428/1000] rSumAvg:[-12.294]
[429/1000] rSumAvg:[-14.243]
[430/1000] rSumAvg:[-11.327]
[431/1000] rSumAvg:[-12.958]
[432/1000] rSumAvg:[-11.954]
[433/1000] rSumAvg:[-12.586]
[434/1000] rSumAvg:[-7.419]
[435/1000] rSumAvg:[-10.117]
[436/1000] rSumAvg:[-9.214]
[437/1000] rSumAvg:[-7.928]
[438/1000] rSumAvg:[-13.368]
[439/1000] rSumAvg:[-11.907]
[440/1000] rSumAvg:[-10.240]
[441/1000] rSumAvg:[-11.504]
[442/1000] rSumAvg:[-11.193]
[443/1000] rSumAvg:[-10.966]
[444/1000] rSumAvg:[-12.285]
[445/1000] rSumAvg:[-15.484]
[446/1000] rSumAvg:[-14.570]
[447/1000] rSumAvg:[-11.444]
[448/1000] rSumAvg:[-14.387]
[449/1000] rSumAvg:[-9.654]
[450/1000] rSumAvg:[-13.687]
[451/1000] rSumAvg:[-10.827]
[452/1000] rSumAvg:[-9.429]
[453/1000] rSumAvg:[-11.367]
[454/1000] rSumAvg:[-13.951]
[455/1000] rSumAvg:[-8.468]
[456/1000] rSumAvg:[-8.821]
[457/1000] rSumAvg:[-8.324]
[458/1000] rSumAvg:[-10.280]
[459/1000] rSumAvg:[-9.263]
[460/1000] rSumAvg:[-9.650]
[461/1000] rSumAvg:[-7.764]
[462/1000] rSumAvg:[-7.651]
[463/1000] rSumAvg:[-9.070]
[464/1000] rSumAvg:[-7.825]
[465/1000] rSumAvg:[-9.816]
[466/1000] rSumAvg:[-7.705]
[467/1000] rSumAvg:[-7.474]
[468/1000] rSumAvg:[-5.084]
[469/1000] rSumAvg:[-6.194]
[470/1000] rSumAvg:[-9.026]
[471/1000] rSumAvg:[-11.144]
[472/1000] rSumAvg:[-12.416]
[473/1000] rSumAvg:[-12.447]
[474/1000] rSumAvg:[-11.882]
[475/1000] rSumAvg:[-12.590]
[476/1000] rSumAvg:[-6.757]
[477/1000] rSumAvg:[-10.995]
[478/1000] rSumAvg:[-6.275]
[479/1000] rSumAvg:[-10.198]
[480/1000] rSumAvg:[-11.675]
[481/1000] rSumAvg:[-11.177]
[482/1000] rSumAvg:[-10.677]
[483/1000] rSumAvg:[-9.052]
[484/1000] rSumAvg:[-9.062]
[485/1000] rSumAvg:[-10.988]
[486/1000] rSumAvg:[-10.496]
[487/1000] rSumAvg:[-10.943]
[488/1000] rSumAvg:[-11.208]
[489/1000] rSumAvg:[-12.450]
[490/1000] rSumAvg:[-11.820]
[491/1000] rSumAvg:[-10.509]
[492/1000] rSumAvg:[-11.270]
[493/1000] rSumAvg:[-11.508]
[494/1000] rSumAvg:[-11.249]
[495/1000] rSumAvg:[-13.602]
[496/1000] rSumAvg:[-13.182]
[497/1000] rSumAvg:[-11.852]
[498/1000] rSumAvg:[-17.143]
[499/1000] rSumAvg:[-11.834]
[500/1000] rSumAvg:[-18.536]
[501/1000] rSumAvg:[-11.119]
[502/1000] rSumAvg:[-5.001]
[503/1000] rSumAvg:[-5.053]
[504/1000] rSumAvg:[-1.947]
[505/1000] rSumAvg:[0.063]
[506/1000] rSumAvg:[1.244]
[507/1000] rSumAvg:[-1.300]
[508/1000] rSumAvg:[0.114]
[509/1000] rSumAvg:[-0.524]
[510/1000] rSumAvg:[-0.202]
[511/1000] rSumAvg:[-0.695]
[512/1000] rSumAvg:[-4.237]
[513/1000] rSumAvg:[-7.413]
[514/1000] rSumAvg:[-3.524]
[515/1000] rSumAvg:[-2.385]
[516/1000] rSumAvg:[-0.926]
[517/1000] rSumAvg:[0.166]
[518/1000] rSumAvg:[1.844]
[519/1000] rSumAvg:[-2.131]
[520/1000] rSumAvg:[-2.045]
[521/1000] rSumAvg:[-1.510]
[522/1000] rSumAvg:[-3.242]
[523/1000] rSumAvg:[-12.245]
[524/1000] rSumAvg:[-25.928]
[525/1000] rSumAvg:[-42.955]
[526/1000] rSumAvg:[-18.082]
[527/1000] rSumAvg:[-22.342]
[528/1000] rSumAvg:[-9.915]
[529/1000] rSumAvg:[-19.111]
[530/1000] rSumAvg:[-16.771]
[531/1000] rSumAvg:[-33.034]
[532/1000] rSumAvg:[-31.356]
[533/1000] rSumAvg:[-38.969]
[534/1000] rSumAvg:[-30.301]
[535/1000] rSumAvg:[-21.631]
[536/1000] rSumAvg:[-22.565]
[537/1000] rSumAvg:[-20.130]
[538/1000] rSumAvg:[-6.547]
[539/1000] rSumAvg:[-1.752]
[540/1000] rSumAvg:[-5.175]
[541/1000] rSumAvg:[-6.293]
[542/1000] rSumAvg:[-7.441]
[543/1000] rSumAvg:[-8.756]
[544/1000] rSumAvg:[-7.478]
[545/1000] rSumAvg:[-9.414]
[546/1000] rSumAvg:[-7.879]
[547/1000] rSumAvg:[-11.488]
[548/1000] rSumAvg:[-8.648]
[549/1000] rSumAvg:[-7.803]
[550/1000] rSumAvg:[-3.488]
[551/1000] rSumAvg:[-2.196]
[552/1000] rSumAvg:[-6.202]
[553/1000] rSumAvg:[-7.533]
[554/1000] rSumAvg:[-3.210]
[555/1000] rSumAvg:[-5.348]
[556/1000] rSumAvg:[-8.376]
[557/1000] rSumAvg:[-6.413]
[558/1000] rSumAvg:[-3.845]
[559/1000] rSumAvg:[-7.172]
[560/1000] rSumAvg:[-8.013]
[561/1000] rSumAvg:[-7.808]
[562/1000] rSumAvg:[-9.681]
[563/1000] rSumAvg:[-9.919]
[564/1000] rSumAvg:[-12.358]
[565/1000] rSumAvg:[-9.595]
[566/1000] rSumAvg:[-10.280]
[567/1000] rSumAvg:[-9.508]
[568/1000] rSumAvg:[-6.392]
[569/1000] rSumAvg:[-6.788]
[570/1000] rSumAvg:[-6.803]
[571/1000] rSumAvg:[-9.795]
[572/1000] rSumAvg:[-1.984]
[573/1000] rSumAvg:[-1.490]
[574/1000] rSumAvg:[-7.089]
[575/1000] rSumAvg:[-10.716]
[576/1000] rSumAvg:[-11.073]
[577/1000] rSumAvg:[-13.548]
[578/1000] rSumAvg:[-13.713]
[579/1000] rSumAvg:[-9.652]
[580/1000] rSumAvg:[4.965]
[581/1000] rSumAvg:[-3.792]
[582/1000] rSumAvg:[-24.980]
[583/1000] rSumAvg:[5.137]
[584/1000] rSumAvg:[1.121]
[585/1000] rSumAvg:[-14.536]
[586/1000] rSumAvg:[-4.210]
[587/1000] rSumAvg:[11.051]
[588/1000] rSumAvg:[5.320]
[589/1000] rSumAvg:[-1.194]
[590/1000] rSumAvg:[10.689]
[591/1000] rSumAvg:[-5.998]
[592/1000] rSumAvg:[-10.580]
[593/1000] rSumAvg:[-13.927]
[594/1000] rSumAvg:[-21.363]
[595/1000] rSumAvg:[-6.324]
[596/1000] rSumAvg:[4.240]
[597/1000] rSumAvg:[-8.686]
[598/1000] rSumAvg:[-8.540]
[599/1000] rSumAvg:[-4.225]
[600/1000] rSumAvg:[-7.983]
[601/1000] rSumAvg:[-5.643]
[602/1000] rSumAvg:[-2.057]
[603/1000] rSumAvg:[-26.225]
[604/1000] rSumAvg:[-14.733]
[605/1000] rSumAvg:[-12.759]
[606/1000] rSumAvg:[-22.373]
[607/1000] rSumAvg:[-15.221]
[608/1000] rSumAvg:[-5.010]
[609/1000] rSumAvg:[-16.327]
[610/1000] rSumAvg:[-26.195]
[611/1000] rSumAvg:[-9.114]
[612/1000] rSumAvg:[-10.184]
[613/1000] rSumAvg:[-21.288]
[614/1000] rSumAvg:[-28.157]
[615/1000] rSumAvg:[-14.202]
[616/1000] rSumAvg:[-26.694]
[617/1000] rSumAvg:[-16.476]
[618/1000] rSumAvg:[-6.561]
[619/1000] rSumAvg:[-17.752]
[620/1000] rSumAvg:[-15.232]
[621/1000] rSumAvg:[-8.750]
[622/1000] rSumAvg:[-13.924]
[623/1000] rSumAvg:[-2.682]
[624/1000] rSumAvg:[-3.329]
[625/1000] rSumAvg:[-1.746]
[626/1000] rSumAvg:[1.386]
[627/1000] rSumAvg:[-6.402]
[628/1000] rSumAvg:[-4.876]
[629/1000] rSumAvg:[-7.121]
[630/1000] rSumAvg:[4.333]
[631/1000] rSumAvg:[2.721]
[632/1000] rSumAvg:[-13.196]
[633/1000] rSumAvg:[-14.310]
[634/1000] rSumAvg:[-0.869]
